"s","a","r","sp"
24338,3,-25,23337
23337,3,-25,22335
22335,3,-25,20832
20832,3,-25,19828
19828,3,-25,18824
18824,3,-25,17819
17819,3,-25,16313
16313,3,-25,15307
15307,3,-25,14299
14299,3,-25,13291
13291,3,-25,12283
12283,3,-25,11774
11774,3,-25,10764
10764,3,-25,9753
9753,3,-25,9243
9243,3,-25,8731
8731,3,-25,8220
8220,3,-25,7708
7708,3,-25,7696
7696,3,-25,7685
7685,3,-25,7673
7673,3,-25,7661
7661,3,-25,8150
8150,3,-25,8638
8638,3,-25,9127
9127,3,-25,9617
9617,3,-25,10107
10107,3,-25,11097
11097,3,-25,11588
11588,3,-25,12580
12580,3,-25,13072
13072,3,-25,14064
14064,3,-25,14558
14558,3,-25,15551
15551,3,-25,16545
16545,3,-25,17040
17040,3,-25,18035
18035,3,-25,18531
18531,3,-25,19527
19527,3,-25,20024
20024,3,-25,20521
20521,3,-25,21519
21519,3,-25,22017
22017,3,-25,22516
22516,3,-25,23515
23515,3,-25,24014
24014,3,-25,24514
24514,3,-25,25014
25014,5,-25,26015
26015,5,-25,27017
27017,5,-25,28019
28019,5,-25,29022
29022,5,-25,30026
30026,5,-25,31030
31030,5,-25,32035
32035,5,-25,33041
33041,5,-25,34548
34548,5,-25,35555
35555,5,-25,36563
36563,5,-25,37572
37572,5,-25,38581
38581,5,-25,40092
40092,5,-25,41103
41103,5,-25,42114
42114,5,-25,43127
43127,5,-25,44140
44140,5,-25,44653
44653,5,-25,45668
45668,5,-25,46182
46182,5,-25,46697
46697,5,-25,46712
46712,5,-25,46727
46727,5,-25,46742
46742,5,-25,46756
46756,5,-25,46271
46271,5,-25,45785
45785,5,-25,45299
45299,5,-25,44312
44312,5,-25,43825
43825,5,-25,42837
42837,5,-25,42349
42349,5,-25,41360
41360,5,-25,40871
40871,5,-25,39881
39881,5,-25,39390
39390,5,-25,38399
38399,5,-25,37908
37908,5,-25,37416
37416,5,-25,36925
36925,5,-25,36432
36432,5,-25,35940
35940,5,-25,35947
35947,5,-25,35954
35954,5,99975,35461
25343,1,-225,24230
24230,1,-225,23729
23729,1,-225,23228
23228,1,-225,22726
22726,1,-225,22224
22224,1,-225,21722
21722,1,-225,21219
21219,1,-225,20716
20716,1,-225,20213
20213,1,-225,19709
19709,1,-225,19205
19205,1,-225,19201
19201,1,-225,18697
18697,1,-225,18693
18693,1,-225,18188
18188,1,-225,18183
18183,1,-225,18179
18179,1,-225,18174
18174,1,-225,18169
18169,1,-225,18165
18165,1,-225,18160
18160,1,-225,18156
18156,1,-225,18651
18651,1,-225,18647
18647,1,-225,19143
19143,1,-225,19139
19139,1,-225,19636
19636,1,-225,20132
20132,1,-225,20629
20629,1,-225,20627
20627,1,-225,21124
21124,1,-225,21622
21622,1,-225,22120
22120,1,-225,22618
22618,1,-225,23117
23117,1,-225,23616
23616,1,-225,24116
24116,1,-225,24616
24616,1,-225,25116
25116,7,-225,26117
26117,7,-225,27118
27118,7,-225,28621
28621,7,-225,29624
29624,7,-225,30628
30628,7,-225,31633
31633,7,-225,32638
32638,7,-225,33644
33644,7,-225,34651
34651,7,-225,35658
35658,7,-225,36166
36166,7,-225,37174
37174,7,-225,37683
37683,7,-225,38192
38192,7,-225,38702
38702,7,-225,39211
39211,7,-225,39221
39221,7,-225,39731
39731,7,-225,39741
39741,7,-225,39751
39751,7,-225,39261
39261,7,-225,39271
39271,7,-225,38780
38780,7,-225,38289
38289,7,-225,37798
37798,7,-225,37307
37307,7,-225,36815
36815,7,-225,36322
36322,7,-225,35830
35830,7,-225,34837
34837,7,-225,34343
34343,7,-225,33849
33849,7,-225,33354
33354,7,-225,32360
32360,7,-225,31864
31864,7,-225,31368
31368,7,-225,30872
30872,7,-225,30376
30376,7,-225,29379
29379,7,-225,28881
28881,7,-225,28384
28384,7,-225,27886
27886,7,-225,27387
27387,7,-225,26888
26888,7,-225,26389
26389,7,-225,25890
25890,7,-225,25390
25390,7,-225,24890
24890,1,-225,23889
23889,1,-225,22387
22387,1,-225,21384
21384,1,-225,20381
20381,1,-225,18877
18877,1,-225,17872
17872,1,-225,16366
16366,1,-225,15359
15359,1,-225,13851
13851,1,-225,12843
12843,1,-225,11334
11334,1,-225,10323
10323,1,-225,8812
8812,1,-225,7800
7800,1,-225,6288
6288,1,-225,5274
5274,1,-225,4260
4260,1,-225,3245
3245,1,-225,2730
2730,1,-225,2214
2214,1,-225,1698
1698,1,-225,1182
1182,1,-225,1166
1166,1,-225,1150
1150,1,-225,1634
1634,1,-225,2118
2118,1,-225,2603
2603,1,-225,3088
3088,1,-225,3573
3573,1,-225,4059
4059,1,-225,4546
4546,1,-225,5532
5532,1,-225,6020
6020,1,-225,6507
6507,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,1,-225,24714
24714,1,-225,24214
24214,1,-225,23713
23713,1,-225,23212
23212,1,-225,22710
22710,1,-225,22709
22709,1,-225,22207
22207,1,-225,21705
21705,1,-225,21702
21702,1,-225,21200
21200,1,-225,20697
20697,1,-225,20694
20694,1,-225,20691
20691,1,-225,20188
20188,1,-225,20185
20185,1,-225,20181
20181,1,-225,20178
20178,1,-225,20174
20174,1,-225,20171
20171,1,-225,20168
20168,1,-225,20164
20164,1,-225,20161
20161,1,-225,20158
20158,1,-225,20655
20655,1,-225,20652
20652,1,-225,21149
21149,1,-225,21147
21147,1,-225,21644
21644,1,-225,21642
21642,1,-225,22140
22140,1,-225,22139
22139,1,-225,22637
22637,1,-225,23136
23136,1,-225,23635
23635,1,-225,23634
23634,1,-225,24133
24133,1,-225,24633
24633,1,-225,25133
25133,7,-225,26134
26134,7,-225,27135
27135,7,-225,28137
28137,7,-225,29140
29140,7,-225,30144
30144,7,-225,30648
30648,7,-225,31652
31652,7,-225,32658
32658,7,-225,33663
33663,7,-225,34170
34170,7,-225,34677
34677,7,-225,35684
35684,7,-225,36191
36191,7,-225,36699
36699,7,-225,36708
36708,7,-225,37216
37216,7,-225,37225
37225,7,-225,37733
37733,7,-225,37742
37742,7,-225,37750
37750,7,-225,37259
37259,7,-225,37267
37267,7,-225,36775
36775,7,-225,36283
36283,7,-225,36290
36290,7,-225,35798
35798,7,-225,35305
35305,7,-225,34311
34311,7,-225,33817
33817,7,-225,33323
33323,7,-225,32828
32828,7,-225,32333
32333,7,-225,31337
31337,7,-225,30841
30841,7,-225,30345
30345,7,-225,29348
29348,7,-225,28850
28850,7,-225,28353
28353,7,-225,27854
27854,7,-225,26856
26856,7,-225,26356
26356,7,-225,25857
25857,7,-225,25357
25357,7,-225,24357
24357,1,-225,23355
23355,1,-225,21853
21853,1,-225,20850
20850,1,-225,19346
19346,1,-225,18341
18341,1,-225,16836
16836,1,-225,15329
15329,1,-225,14322
14322,1,-225,12814
12814,1,-225,11805
11805,1,-225,10795
10795,1,-225,9284
9284,1,-225,8273
8273,1,-225,7260
7260,1,-225,6248
6248,1,-225,5735
5735,1,-225,5221
5221,1,-225,4707
4707,1,-225,4193
4193,1,-225,4178
4178,1,-225,3664
3664,1,-225,4150
4150,1,-225,4135
4135,1,-225,4622
4622,1,-225,5108
5108,1,-225,5595
5595,1,-225,6082
6082,1,-225,6570
6570,1,-225,7558
7558,1,-225,8046
8046,1,-225,8535
8535,1,-225,9024
9024,1,-225,9514
9514,1,-225,10004
10004,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,1,-225,24709
24709,1,-225,24209
24209,1,-225,23708
23708,1,-225,23707
23707,1,-225,23206
23206,1,-225,22704
22704,1,-225,22703
22703,1,-225,22201
22201,1,-225,21699
21699,1,-225,21697
21697,1,-225,21694
21694,1,-225,21192
21192,1,-225,21189
21189,1,-225,20686
20686,1,-225,20683
20683,1,-225,20680
20680,1,-225,20678
20678,1,-225,20675
20675,1,-225,20672
20672,1,-225,20669
20669,1,-225,20666
20666,1,-225,20663
20663,1,-225,21160
21160,1,-225,21158
21158,1,-225,21155
21155,1,-225,21653
21653,1,-225,21651
21651,1,-225,21649
21649,1,-225,22147
22147,1,-225,22645
22645,1,-225,22643
22643,1,-225,23142
23142,1,-225,23141
23141,1,-225,23640
23640,1,-225,24140
24140,1,-225,24139
24139,1,-225,24639
24639,1,-225,25139
25139,7,-225,26140
26140,7,-225,27141
27141,7,-225,27643
27643,7,-225,28646
28646,7,-225,29649
29649,7,-225,30653
30653,7,-225,31658
31658,7,-225,32163
32163,7,-225,33168
33168,7,-225,33674
33674,7,-225,34681
34681,7,-225,35188
35188,7,-225,35695
35695,7,-225,36202
36202,7,-225,36210
36210,7,-225,36718
36718,7,-225,36726
36726,7,-225,36734
36734,7,-225,36742
36742,7,-225,36751
36751,7,-225,36759
36759,7,-225,36266
36266,7,-225,36274
36274,7,-225,35781
35781,7,-225,35288
35288,7,-225,34795
34795,7,-225,34302
34302,7,-225,33808
33808,7,-225,33313
33313,7,-225,32818
32818,7,-225,32323
32323,7,-225,31328
31328,7,-225,30832
30832,7,-225,30335
30335,7,-225,29838
29838,7,-225,28841
28841,7,-225,28343
28343,7,-225,27845
27845,7,-225,26846
26846,7,-225,26347
26347,7,-225,25848
25848,7,-225,25348
25348,7,-225,24347
24347,1,-225,23346
23346,1,-225,21844
21844,1,-225,20841
20841,1,-225,19337
19337,1,-225,18332
18332,1,-225,16827
16827,1,-225,15320
15320,1,-225,14313
14313,1,-225,12805
12805,1,-225,11796
11796,1,-225,10786
10786,1,-225,9775
9775,1,-225,8764
8764,1,-225,7752
7752,1,-225,6740
6740,1,-225,6227
6227,1,-225,5713
5713,1,-225,5200
5200,1,-225,4686
4686,1,-225,4672
4672,1,-225,4658
4658,1,-225,4645
4645,1,-225,5131
5131,1,-225,5618
5618,1,-225,6105
6105,1,-225,6593
6593,1,-225,7081
7081,1,-225,7569
7569,1,-225,8558
8558,1,-225,9047
9047,1,-225,9536
9536,1,-225,10027
10027,1,-225,10517
10517,1,-225,11008
11008,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,2,-100,24221
24221,5,-25,24221
24221,6,-100,24720
24720,6,-100,24720
24720,2,-100,24220
24220,1,-225,23719
23719,6,-100,23718
23718,4,0,23718
23718,4,0,23717
23717,4,0,23716
23716,7,-225,23715
23715,5,-25,23714
23714,2,-100,23213
23213,2,-100,22711
22711,3,-25,22710
22710,2,-100,22208
22208,2,-100,22206
22206,2,-100,21704
21704,7,-225,22202
22202,7,-225,22200
22200,6,-100,22698
22698,4,0,22697
22697,2,-100,22695
22695,7,-225,22694
22694,3,-25,22692
22692,7,-225,23191
23191,1,-225,23190
23190,6,-100,23689
23689,2,-100,23688
23688,3,-25,23687
23687,5,-25,23687
23687,4,0,24186
24186,2,-100,24185
24185,5,-25,24185
24185,3,-25,24185
24185,2,-100,24184
24184,2,-100,24184
24184,3,-25,24183
24183,1,-225,24183
24183,6,-100,24683
24683,4,0,25183
25183,5,-25,25183
25183,1,-225,25183
25183,5,-25,25684
25684,2,-100,25684
25684,5,-25,26185
26185,4,0,26186
26186,6,-100,26687
26687,5,-25,27188
27188,3,-25,27190
27190,4,0,27191
27191,6,-100,27693
27693,1,-225,27695
27695,1,-225,27197
27197,5,-25,27699
27699,7,-225,28201
28201,7,-225,28203
28203,2,-100,28205
28205,6,-100,28207
28207,4,0,28210
28210,2,-100,28212
28212,5,-25,28214
28214,3,-25,27716
27716,4,0,27718
27718,1,-225,27219
27219,1,-225,26720
26720,7,-225,26722
26722,3,-25,26723
26723,3,-25,26224
26224,1,-225,25724
25724,5,-25,25725
25725,1,-225,25225
25225,7,-225,25225
25225,2,-100,24725
24725,7,-225,24724
24724,2,-100,24224
24224,6,-100,24224
24224,6,-100,24223
24223,6,-100,24723
24723,3,-25,24222
24222,2,-100,23722
23722,3,-25,23220
23220,6,-100,23719
23719,1,-225,23218
23218,5,-25,23217
23217,2,-100,22715
22715,5,-25,22714
22714,5,-25,22712
22712,4,0,22710
22710,5,-25,22709
22709,1,-225,22207
22207,3,-25,22205
22205,3,-25,22203
22203,5,-25,22201
22201,3,-25,22199
22199,6,-100,22198
22198,7,-225,22696
22696,5,-25,23195
23195,5,-25,23194
23194,7,-225,23693
23693,6,-100,24192
24192,4,0,24192
24192,6,-100,24692
24692,3,-25,24692
24692,3,-25,24692
24692,4,0,24692
24692,1,-225,24692
24692,4,0,24692
24692,4,0,25192
25192,6,-100,25692
25692,5,-25,25693
25693,2,-100,25693
25693,6,-100,26194
26194,3,-25,26195
26195,3,-25,26195
26195,5,-25,26196
26196,5,-25,26697
26697,2,-100,26198
26198,7,-225,26699
26699,6,-100,27201
27201,4,0,27202
27202,1,-225,26704
26704,1,-225,26705
26705,6,-100,26706
26706,3,-25,26707
26707,1,-225,26208
26208,6,-100,26709
26709,3,-25,26210
26210,2,-100,26211
26211,6,-100,26212
26212,1,-225,25712
25712,5,-25,25713
25713,4,0,25714
25714,5,-25,25714
25714,3,-25,25715
25715,7,-225,25715
25715,5,-25,25716
25716,5,-25,25717
25717,1,-225,25717
25717,2,-100,25217
25217,2,-100,24717
24717,2,-100,24216
24216,4,0,24216
24216,2,-100,23715
23715,1,-225,23213
23213,7,-225,23212
23212,3,-25,23211
23211,6,-100,23210
23210,7,-225,23709
23709,6,-100,23708
23708,6,-100,24208
24208,3,-25,24207
24207,1,-225,23706
23706,2,-100,23205
23205,7,-225,23704
23704,6,-100,24204
24204,2,-100,23703
23703,7,-225,24202
24202,6,-100,24202
24202,6,-100,24702
24702,2,-100,24201
24201,6,-100,24701
24701,7,-225,25201
25201,7,-225,25702
25702,1,-225,25202
25202,4,0,25202
25202,5,-25,25202
25202,7,-225,25703
25703,6,-100,26204
26204,7,-225,26705
26705,6,-100,26706
26706,5,-25,26707
26707,2,-100,26708
26708,2,-100,26209
26209,4,0,26210
26210,5,-25,26211
26211,2,-100,25712
25712,5,-25,26212
26212,3,-25,25713
25713,4,0,25713
25713,1,-225,25213
25213,5,-25,25214
25214,7,-225,25714
25714,7,-225,25715
25715,3,-25,25715
25715,1,-225,25215
25215,2,-100,24715
24715,2,-100,24214
24214,3,-25,23714
23714,6,-100,24213
24213,1,-225,23712
23712,2,-100,23211
23211,1,-225,22710
22710,6,-100,23208
23208,6,-100,23707
23707,3,-25,23206
23206,7,-225,23705
23705,6,-100,23705
23705,1,-225,23704
23704,3,-25,23203
23203,3,-25,23202
23202,1,-225,23200
23200,7,-225,23199
23199,3,-25,23198
23198,5,-25,23697
23697,6,-100,23696
23696,5,-25,24196
24196,7,-225,24696
24696,1,-225,24195
24195,1,-225,24195
24195,7,-225,24694
24694,4,0,24694
24694,3,-25,24694
24694,7,-225,25194
25194,5,-25,25194
25194,5,-25,25695
25695,4,0,25696
25696,6,-100,26196
26196,6,-100,26697
26697,1,-225,26198
26198,6,-100,26700
26700,2,-100,26701
26701,1,-225,26202
26202,3,-25,26202
26202,7,-225,26203
26203,5,-25,26704
26704,2,-100,26205
26205,5,-25,26206
26206,3,-25,26207
26207,7,-225,26708
26708,5,-25,26710
26710,5,-25,26711
26711,5,-25,26712
26712,7,-225,27214
27214,2,-100,26715
26715,5,-25,26716
26716,7,-225,26717
26717,7,-225,27219
27219,2,-100,26720
26720,1,-225,26221
26221,6,-100,26222
26222,3,-25,26223
26223,4,0,25723
25723,3,-25,25223
25223,3,-25,25223
25223,2,-100,24723
24723,6,-100,24723
24723,1,-225,24222
24222,3,-25,23722
23722,7,-225,23721
23721,2,-100,23220
23220,3,-25,23219
23219,3,-25,22717
22717,6,-100,23216
23216,4,0,22714
22714,5,-25,22713
22713,4,0,22712
22712,1,-225,22210
22210,4,0,22208
22208,7,-225,22706
22706,5,-25,22705
22705,6,-100,23204
23204,5,-25,23203
23203,1,-225,23201
23201,6,-100,23200
23200,5,-25,23699
23699,1,-225,23198
23198,4,0,23197
23197,5,-25,23696
23696,2,-100,23195
23195,4,0,23694
23694,5,-25,23693
23693,4,0,23693
23693,1,-225,23692
23692,7,-225,24191
24191,1,-225,24191
24191,7,-225,24690
24690,3,-25,24690
24690,4,0,24690
24690,1,-225,24689
24689,7,-225,25189
25189,5,-25,25190
25190,5,-25,25690
25690,2,-100,25691
25691,6,-100,26191
26191,6,-100,26192
26192,1,-225,26193
26193,1,-225,26194
26194,6,-100,26695
26695,1,-225,26196
26196,1,-225,26197
26197,1,-225,25697
25697,3,-25,25698
25698,6,-100,26199
26199,6,-100,26700
26700,4,0,26701
26701,3,-25,26702
26702,5,-25,26703
26703,1,-225,26204
26204,1,-225,26205
26205,3,-25,25705
25705,7,-225,26206
26206,3,-25,26207
26207,1,-225,25707
25707,5,-25,25708
25708,6,-100,26209
26209,3,-25,25710
25710,2,-100,25710
25710,7,-225,25711
25711,4,0,25711
25711,5,-25,25712
25712,5,-25,25712
25712,3,-25,25713
25713,2,-100,25213
25213,7,-225,25713
25713,7,-225,25714
25714,5,-25,25714
25714,5,-25,25715
25715,1,-225,25215
25215,1,-225,25215
25215,7,-225,25216
25216,5,-25,25216
25216,4,0,25216
25216,1,-225,24716
24716,4,0,24715
24715,3,-25,24215
24215,6,-100,24715
24715,5,-25,24714
24714,7,-225,24714
24714,2,-100,24214
24214,4,0,24213
24213,5,-25,24213
24213,4,0,24212
24212,6,-100,24212
24212,4,0,24211
24211,1,-225,24211
24211,4,0,23710
23710,2,-100,23709
23709,1,-225,23208
23208,2,-100,22706
22706,3,-25,22705
22705,5,-25,22703
22703,4,0,22702
22702,2,-100,22700
22700,5,-25,22699
22699,4,0,22697
22697,1,-225,22696
22696,6,-100,23194
23194,4,0,23193
23193,6,-100,23692
23692,2,-100,23191
23191,7,-225,23690
23690,7,-225,24190
24190,1,-225,24189
24189,6,-100,24689
24689,6,-100,25189
25189,3,-25,25189
25189,7,-225,25690
25690,1,-225,25690
25690,1,-225,25190
25190,3,-25,25191
25191,5,-25,25691
25691,5,-25,26192
26192,6,-100,26193
26193,6,-100,26694
26694,5,-25,27196
27196,3,-25,27197
27197,6,-100,27699
27699,2,-100,27200
27200,5,-25,27202
27202,3,-25,27204
27204,2,-100,27205
27205,7,-225,27207
27207,4,0,27208
27208,1,-225,26710
26710,7,-225,27211
27211,6,-100,27713
27713,6,-100,27715
27715,6,-100,27717
27717,5,-25,27719
27719,5,-25,27721
27721,3,-25,27723
27723,4,0,27224
27224,3,-25,27226
27226,4,0,26727
26727,7,-225,26728
26728,6,-100,26730
26730,5,-25,26731
26731,5,-25,26732
26732,4,0,26233
26233,7,-225,26234
26234,2,-100,25735
25735,5,-25,25735
25735,1,-225,25235
25235,5,-25,24735
24735,6,-100,24735
24735,5,-25,24735
24735,6,-100,24735
24735,5,-25,24734
24734,7,-225,24734
24734,5,-25,24234
24234,1,-225,23733
23733,3,-25,23232
23232,4,0,22730
22730,6,-100,23229
23229,7,-225,23228
23228,6,-100,23226
23226,4,0,22725
22725,2,-100,22223
22223,5,-25,22221
22221,7,-225,22220
22220,1,-225,22218
22218,1,-225,21715
21715,3,-25,21213
21213,6,-100,21710
21710,1,-225,21208
21208,7,-225,21205
21205,1,-225,21203
21203,4,0,21200
21200,3,-25,21197
21197,7,-225,21195
21195,6,-100,21693
21693,6,-100,22191
22191,7,-225,22689
22689,3,-25,22688
22688,4,0,22686
22686,4,0,23185
23185,3,-25,23184
23184,4,0,23183
23183,7,-225,24182
24182,1,-225,23681
23681,2,-100,23681
23681,1,-225,23680
23680,5,-25,24179
24179,5,-25,24679
24679,2,-100,24679
24679,6,-100,25179
25179,5,-25,25680
25680,5,-25,26180
26180,5,-25,26681
26681,1,-225,26182
26182,2,-100,26183
26183,7,-225,26685
26685,1,-225,26686
26686,3,-25,26687
26687,7,-225,27189
27189,6,-100,27691
27691,7,-225,28193
28193,2,-100,28195
28195,7,-225,28698
28698,2,-100,28200
28200,7,-225,28703
28703,6,-100,29205
29205,5,-25,29208
29208,5,-25,29211
29211,3,-25,29214
29214,2,-100,28717
28717,4,0,28719
28719,3,-25,28221
28221,4,0,28223
28223,3,-25,27725
27725,4,0,27227
27227,3,-25,27228
27228,7,-225,27230
27230,1,-225,26731
26731,7,-225,26732
26732,7,-225,26733
26733,6,-100,26734
26734,2,-100,25735
25735,7,-225,25736
25736,2,-100,25236
25236,6,-100,25236
25236,5,-25,25236
25236,2,-100,24236
24236,3,-25,24235
24235,7,-225,23735
23735,5,-25,23734
23734,5,-25,23733
23733,1,-225,23232
23232,7,-225,23230
23230,7,-225,23229
23229,6,-100,23228
23228,7,-225,23227
23227,5,-25,23225
23225,3,-25,22724
22724,2,-100,22222
22222,1,-225,21720
21720,1,-225,21217
21217,7,-225,21215
21215,7,-225,21713
21713,7,-225,21710
21710,6,-100,22208
22208,1,-225,21706
21706,5,-25,21704
21704,5,-25,22202
22202,2,-100,21700
21700,6,-100,22198
22198,7,-225,22697
22697,5,-25,22695
22695,7,-225,23194
25343,1,-225,24694
24694,1,-225,24694
24694,1,-225,24193
24193,1,-225,24193
24193,1,-225,24192
24192,1,-225,23691
23691,1,-225,23691
23691,1,-225,23190
23190,1,-225,23188
23188,1,-225,23187
23187,1,-225,23186
23186,1,-225,22684
22684,1,-225,22683
22683,1,-225,22681
22681,1,-225,22680
22680,1,-225,22678
22678,1,-225,22677
22677,1,-225,22675
22675,1,-225,22673
22673,1,-225,22672
22672,1,-225,22670
22670,1,-225,22669
22669,1,-225,22667
22667,1,-225,22666
22666,1,-225,22664
22664,1,-225,23163
23163,1,-225,23162
23162,1,-225,23161
23161,1,-225,23159
23159,1,-225,23659
23659,1,-225,23658
23658,1,-225,23657
23657,1,-225,24156
24156,1,-225,24156
24156,1,-225,24656
24656,1,-225,24655
24655,1,-225,24655
24655,1,-225,25155
25155,7,-225,25656
25656,7,-225,26657
26657,7,-225,27659
27659,7,-225,28161
28161,7,-225,29164
29164,7,-225,29668
29668,7,-225,30671
30671,7,-225,31176
31176,7,-225,31680
31680,7,-225,32686
32686,7,-225,33191
33191,7,-225,33697
33697,7,-225,33703
33703,7,-225,34209
34209,7,-225,34716
34716,7,-225,34722
34722,7,-225,34729
34729,7,-225,34736
34736,7,-225,34743
34743,7,-225,34749
34749,7,-225,34756
34756,7,-225,34263
34263,7,-225,34269
34269,7,-225,33775
33775,7,-225,33281
33281,7,-225,33286
33286,7,-225,32791
32791,7,-225,32296
32296,7,-225,31801
31801,7,-225,31305
31305,7,-225,30809
30809,7,-225,29812
29812,7,-225,29315
29315,7,-225,28818
28818,7,-225,28320
28320,7,-225,27822
27822,7,-225,26823
26823,7,-225,26324
26324,7,-225,25824
25824,7,-225,25324
25324,7,-225,24324
24324,1,-225,23323
23323,1,-225,21821
21821,1,-225,20818
20818,1,-225,19314
19314,1,-225,18309
18309,1,-225,17304
17304,1,-225,15798
15798,1,-225,14791
14791,1,-225,13783
13783,1,-225,12274
12274,1,-225,11265
11265,1,-225,10755
10755,1,-225,9745
9745,1,-225,8734
8734,1,-225,8222
8222,1,-225,7711
7711,1,-225,7199
7199,1,-225,7186
7186,1,-225,7174
7174,1,-225,7162
7162,1,-225,7150
7150,1,-225,7138
7138,1,-225,7626
7626,1,-225,8114
8114,1,-225,8603
8603,1,-225,9093
9093,1,-225,9582
9582,1,-225,10572
10572,1,-225,11063
11063,1,-225,11554
11554,1,-225,12045
12045,1,-225,13037
13037,1,-225,13530
13530,1,-225,14022
14022,1,-225,14515
14515,1,-225,15008
15008,1,-225,15502
15502,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,5,-25,24733
24733,2,-100,24232
24232,4,0,23731
23731,4,0,23730
23730,5,-25,23729
23729,5,-25,23228
23228,6,-100,23227
23227,6,-100,23726
23726,3,-25,23225
23225,3,-25,22724
22724,6,-100,22722
22722,6,-100,23221
23221,4,0,22719
22719,6,-100,23218
23218,5,-25,23217
23217,3,-25,22715
22715,2,-100,22213
22213,3,-25,22211
22211,1,-225,21709
21709,7,-225,21707
21707,6,-100,22205
22205,4,0,22203
22203,7,-225,22702
22702,6,-100,22700
22700,6,-100,23199
23199,6,-100,23698
23698,2,-100,23197
23197,7,-225,23696
23696,2,-100,23695
23695,3,-25,23694
23694,7,-225,23694
23694,6,-100,24193
24193,5,-25,24693
24693,4,0,24693
24693,5,-25,25193
25193,6,-100,25693
25693,7,-225,26194
26194,5,-25,26195
26195,1,-225,26196
26196,1,-225,25696
25696,1,-225,25697
25697,1,-225,25197
25197,5,-25,25698
25698,3,-25,25698
25698,7,-225,25699
25699,6,-100,26200
26200,1,-225,26200
